,crop,sow_month,harvest_month,MinRain(cm),MaxRain(cm),pesticide,PesticidePrice/kg,CropRotation,
1,rice,MAY,NOV,150,200,Cypermethrin,390,soyabeanORgram,
2,wheat,OCT,APR,20,100,Phorate,280,gramORsunflowersORmaize,
3,cotton,JUN,NOV,50,100,Fenvalerate,345,wheatORalfaalfaORbeans,
4,jute,FEB,JUL,125,150,Carbendazin,140,mustardORgramORpeas,
5,sugarcane,NOV,MAY,75,150,Monocrotophos,340,riceORcottonORturmeric,
6,jowar,JUL,OCT,30,65,Zineb,600,grams,
7,maize,JUN,SEP,60,110,"2,4-D",750,beans,
8,pulses,JUN,OCT,50,75,Paraquat Dichloride,320,wheat,
9,ragi,JUN,SEP,70,120,"2,4-D",470,maizeORrice,
10,ragi,NOV,DEC,70,120,"2,4-D",500,maizeORrice,
11,gram,OCT,APR,65,100,Phorate,120,riceORmaize,
12,oilseed,NOV,MAR,40,50,Dichlorvos,100,pulsesORwheatORbeans,
13,tobacco,AUG,OCT,50,100,Captan,220,wheat,
14,potato,SEP,MAR,30,50,Mancozeb,950,onionORbeansORcabbage,
15,peas,APR,JUN,40,50,Carbofuran,140,cucumberORwheatORbarleyORpotato,
16,onion,JUN,NOV,35,55,Dimethoate,230,cabbage,
17,onion,NOV,JUN,35,55,Dimethoate,200,cabbage,
18,tomato,APR,JUN,40,60,Mancozeb,430,beansORpeas,
19,cabbage,OCT,JAN,38,50,Dimethoate,520,tomatoORpotato,
20,guava,JUN,AUG,90,120,Mancozeb,550,notrequired,
21,banana,JAN,DEC,200,250,Carbofuran,290,notrequired,
22,parwal,FEB,MAY,120,220,Chlorpyrifos,380,beansORpeas,
23,soyabean,JUN,OCT,40,50,Malathion,170,wheat,
24,turmeric,JUN,MAR,150,200,Monocrotophos,110,riceORsugarcane,
25,red chili,MAY,OCT,60,125,Quinalphos,140,beansORpeas,
26,barley,OCT,APR,39,43,Phorate,320,alfaalfaORbeans,
27,mustard,NOV,MAR,62.5,100,Phosalone,275,alfaalfaORsunflowers,
28,sesame,MAY,JAN,50,66,Organochlorine,310,cottonORwheat,
29,lobia,NOV,FEB,120,150,Endisulfan,250,tomatoORcabbage,
30,cucumber,APR,SEP,25,30,Trichoderma viride,110,tomato,
31,groundnut,JUN,DEC,40,50,Dichlorvos,240,maize,
32,lemon,JUN,AUG,90,120,Zineb,320,beansORpeas,
33,beans,NOV,FEB,30,50,Chlorpyrifos,570,tomatoORcabbage,
34,sunflowers,MAY,AUG,60,100,Dichlorvos,120,barleyORpeas,
35,alfalfa,FEB,SEP,45,90,Chlorpyrifos,100,maizeORwheatORbarley,
